what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095306702
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095315249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095333023
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095338103
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095341147
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095342295
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095350367
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095364873
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095366254
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095482022
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095484173
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095488177
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1509095493584
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1509095495430
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095509099
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095509965
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095513535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095525391
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095527045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095539875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095540836
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095749787
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095782195
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095789245
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095829042
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095829660
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095843211
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095843868
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095846395
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095859661
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1509095859673
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1509095861763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095862555
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095867132
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095867771
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095869860
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1509095870942
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1509095872908
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1509095874728
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095883943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095884738
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095885028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509095887479
